update,step,avg_reward,value_loss,policy_loss
1,1024,71.30783023495994,44.884368896484375,0.0031242258846759796
2,2048,65.70411089657595,52.84502410888672,0.0009477995336055756
3,3072,84.32266042591131,76.4293212890625,0.002535177394747734
4,4096,105.62661462575537,68.07804870605469,-0.023663461208343506
5,5120,120.34809489270921,73.46757507324219,-0.021678123623132706
6,6144,110.53318992747685,67.4441146850586,-0.009814159013330936
7,7168,125.24719255035373,66.01095581054688,0.006760098040103912
8,8192,132.512245404418,67.59226989746094,-0.012162940576672554
9,9216,164.30813647257145,67.71041870117188,-0.007537767291069031
10,10240,171.99326232161133,67.22354125976562,0.000225752592086792
11,11264,174.5857173049701,62.116676330566406,-0.01170274056494236
12,12288,175.82486626896156,61.039947509765625,-0.003191860392689705
13,13312,179.59921485877254,60.64822006225586,-0.00385272316634655
14,14336,175.14487050571742,56.33636474609375,-0.003997988998889923
15,15360,182.09746543163027,57.108917236328125,0.0021879784762859344
16,16384,182.1263208109603,57.41700744628906,0.003881935030221939
17,17408,190.14333747846672,58.92436981201172,0.002743639051914215
18,18432,190.67687450831414,50.63977813720703,-0.0022746585309505463
19,19456,187.7061225723161,51.68641662597656,0.008634895086288452
20,20480,187.6955807250686,56.05976486206055,-0.008152746595442295
21,21504,188.05149398321723,56.18424987792969,-0.0022176895290613174
22,22528,188.3473166520483,48.81190490722656,-0.004308633506298065
23,23552,181.9929049341609,54.237022399902344,0.005116709508001804
24,24576,178.71325504739852,65.4267807006836,-0.012555955909192562
25,25600,169.98099620112856,58.73666763305664,-0.0029523540288209915
26,26624,179.21729227637283,47.209503173828125,-0.010606866329908371
27,27648,179.30138570190164,48.02819061279297,0.0019752271473407745
28,28672,174.94243231220426,54.97759246826172,-0.0009291134774684906
29,29696,184.11574373616375,62.64216995239258,-0.004200400784611702
30,30720,184.28727069505467,57.65483093261719,-0.00495966337621212
31,31744,184.4484401038314,51.0738410949707,-0.01061183400452137
32,32768,198.91128320736692,58.54621887207031,-0.008656583726406097
33,33792,183.79661735552753,80.22415924072266,-0.0023168791085481644
34,34816,183.7819990421316,76.59494018554688,-2.6360154151916504e-05
35,35840,183.97228929896704,51.390174865722656,-0.005678337067365646
36,36864,175.12056460222055,84.27362060546875,-0.009950656443834305
37,37888,190.24385059929597,56.24957275390625,-0.00489402562379837
38,38912,190.40227640201067,61.54878234863281,-0.009347138926386833
39,39936,179.9655798855269,85.24717712402344,-0.0013559143990278244
40,40960,183.55522372482173,66.03874969482422,-0.0008920412510633469
41,41984,182.0771063264036,63.04962158203125,0.009584484621882439
42,43008,183.2819933254928,52.84219741821289,-0.00023866631090641022
43,44032,186.2206748226558,96.66608428955078,0.0009362734854221344
44,45056,191.5201138523373,91.9393310546875,-0.006299139931797981
45,46080,192.8880427664083,93.13932800292969,0.007079395465552807
46,47104,192.88783441838672,75.24069213867188,-0.0026229340583086014
47,48128,191.9700753827544,77.4288558959961,-0.00035572052001953125
48,49152,191.86805102701632,68.55697631835938,0.0035892240703105927
49,50176,182.96596599928446,111.56629943847656,0.00010582664981484413
50,51200,176.66800402893335,76.01591491699219,-0.015580588020384312
51,52224,183.39582532325116,67.54157257080078,-0.0028719305992126465
52,53248,192.70056843894733,83.7875747680664,-0.002544604241847992
53,54272,192.6127699016502,45.91016387939453,-0.007587350904941559
54,55296,199.10755866040785,115.692138671875,0.009063325822353363
55,56320,197.85820390906048,89.2984619140625,-0.0001960955560207367
56,57344,197.47839198187026,98.98186492919922,-0.00639699213206768
57,58368,197.37817586214484,101.91291809082031,-0.002535175532102585
58,59392,197.16998538745753,78.06344604492188,-0.009387185797095299
59,60416,192.36572907420327,103.60809326171875,-0.0028015365824103355
60,61440,192.5399617927966,70.82391357421875,0.004471983760595322
61,62464,191.50142310289453,74.84070587158203,-0.003517337143421173
62,63488,184.27415709132882,91.02572631835938,-0.0068664830178022385
63,64512,190.29299199363095,92.36457824707031,-0.005797499790787697
64,65536,190.5511151333162,90.0625,-0.004948324523866177
65,66560,191.7772386528846,73.83409118652344,-0.0037963800132274628
66,67584,199.2792185489787,75.30838012695312,-0.001561816781759262
67,68608,199.30142378314628,79.00638580322266,0.00464167445898056
68,69632,199.26734770685835,105.60824584960938,0.003767937421798706
69,70656,199.18232250026932,107.88619995117188,0.005720583721995354
70,71680,199.11190654579298,105.87382507324219,0.001676059328019619
71,72704,191.776702804562,120.63873291015625,-0.009131699800491333
72,73728,191.70194547248445,81.00934600830078,-0.014842617325484753
73,74752,191.93002813007917,73.9327392578125,-0.007922685705125332
74,75776,192.05423831995626,76.0245361328125,-0.005683515220880508
75,76800,199.3192303570674,90.41024017333984,-0.001679595559835434
76,77824,198.3054110802039,77.35287475585938,-0.0021607931703329086
77,78848,198.28986598340077,63.31238555908203,-0.004517979919910431
78,79872,198.22391578188314,72.13197326660156,-0.01045413501560688
79,80896,189.34692926855104,86.60429382324219,0.002232719212770462
80,81920,190.52170460691997,65.59352111816406,-0.009683188050985336
81,82944,190.4168412720338,71.7885513305664,0.0035359710454940796
82,83968,174.06468453811678,91.27180480957031,-0.0009552128612995148
83,84992,182.88255123244136,61.25780487060547,0.006586773321032524
84,86016,182.8129035689505,56.075096130371094,-0.002210657112300396
85,87040,182.88384908134233,61.32725524902344,0.003922818228602409
86,88064,190.90022263146392,109.4952392578125,0.015213491395115852
87,89088,174.85840118317455,105.97386169433594,0.0015489179641008377
88,90112,167.11085543592299,73.1727523803711,-0.0003353338688611984
89,91136,170.66137410061108,56.97621536254883,0.00426106434315443
90,92160,169.03081538023406,85.18931579589844,0.01331998035311699
91,93184,185.22679548180696,34.15536880493164,-0.0018975771963596344
92,94208,191.92027494452338,56.31052780151367,0.0012176241725683212
93,95232,193.5881357753679,47.17934036254883,-0.0004350636154413223
94,96256,176.87076981316187,74.65469360351562,-7.523037493228912e-05
95,97280,182.1979644962294,51.217620849609375,0.006034249439835548
96,98304,182.23267926736656,41.6204833984375,-0.007076438516378403
97,99328,182.26855959943802,50.561065673828125,0.005755163729190826
