update,step,avg_reward,value_loss,policy_loss
1,1024,34.133685659901694,33.62306518554688,-0.007319155894219875
2,2048,32.437791814256215,33.0624605178833,-0.005313054122962057
3,3072,36.49373773277095,34.27759671211243,-0.008446825528517365
4,4096,53.98182071850469,42.68234224319458,-0.013382573472335934
5,5120,70.29869590913246,45.654358577728274,-0.002141808543819934
6,6144,90.22204151806592,45.9703875541687,-0.010483350569847972
7,7168,112.11223752756696,43.08459873199463,-0.005053231958299875
8,8192,118.30412976563628,42.395918655395505,-0.0049375458387658
9,9216,123.91681286378466,39.78898296356201,-0.0029593908810056748
10,10240,139.0144713053441,40.56500873565674,-0.004729498480446637
11,11264,144.76638074271327,37.73100471496582,-0.004545768385287374
12,12288,162.34690062206045,35.644432878494264,-0.0045184414368122814
13,13312,176.3727926979445,34.92253007888794,-0.005797824054025113
14,14336,191.97736941084256,35.008337593078615,-0.007629950100090354
15,15360,187.78743050072018,34.095897626876834,-0.004564323555678129
16,16384,179.44838080983945,34.43686966896057,-0.002813535532914102
17,17408,179.24208914979246,33.84136152267456,-0.0021956041222438217
18,18432,201.5454147439518,31.921813344955446,-0.0048967219656333326
19,19456,211.49946305943018,29.668133974075317,-0.0025767912971787154
20,20480,198.07093454950137,30.85280637741089,-0.003969717607833445
21,21504,216.8763528491466,29.156432628631592,-0.002484038530383259
22,22528,242.8140647064873,27.299422931671142,-0.00227264593122527
23,23552,256.76048952338056,27.41403250694275,-0.0028284297906793652
24,24576,265.361424001449,25.595774269104005,-0.005417815956752748
25,25600,275.19644989325366,27.323933601379395,-0.0020284249214455484
26,26624,246.51468375314994,30.9940137386322,-0.0048474618699401615
27,27648,265.8933494315413,28.036105585098266,-0.00484179980121553
28,28672,264.230725697457,28.211248302459715,-0.0019933228963054717
29,29696,247.80238805478302,27.858935737609862,-0.0032058683806098997
30,30720,221.51571206411055,34.79380626678467,-0.004525920457672328
31,31744,213.7498881020716,28.309064435958863,-0.00567306017037481
32,32768,231.94774908819787,27.826527881622315,-0.002503497526049614
33,33792,233.2486222446405,27.601376080513,-0.0025453526875935497
34,34816,220.35846397215738,28.38642644882202,-0.0035537043702788653
35,35840,237.73976361001942,28.79476571083069,-0.0038711430854164062
36,36864,223.44013000653553,46.1895893573761,-0.0009162336587905884
37,37888,198.1825308381679,41.295877885818484,-0.0011699901660904288
38,38912,198.58395779364503,23.830266642570496,-0.0015117859817110001
39,39936,189.15075810217073,43.16906623840332,-0.004354332177899778
40,40960,180.62269309620393,36.905733060836795,-0.0015557554957922547
41,41984,195.45870135332538,23.727004837989806,-0.001988088106736541
42,43008,212.8486195812414,30.518488311767577,-0.0006218618946149945
43,44032,233.6450268941021,39.26335482597351,-0.0012057589599862694
44,45056,233.51576016209842,23.905362010002136,0.0006503937765955925
45,46080,253.8951149352112,32.47547726631164,-0.0024200251791626215
46,47104,249.35425610497137,33.058436155319214,-0.002395896543748677
47,48128,248.4792454988466,42.80699577331543,-0.0010257646325044334
48,49152,222.37006560506453,43.55143356323242,-0.001274145138449967
49,50176,199.42671943292535,61.06793270111084,-0.004471886495593935
50,51200,199.64998498069394,24.839200735092163,-0.0026110327802598477
51,52224,194.9091747204326,43.194321155548096,-0.0009080239338800311
52,53248,205.95295324530565,25.310234212875365,-0.0020953294122591616
53,54272,218.96948216286964,44.220740461349486,-0.002805805404204875
54,55296,218.0450520162057,35.53431854248047,-0.0011894852854311467
55,56320,231.10192355517557,44.46900615692139,-0.0015092074871063232
56,57344,243.9574777177685,25.708717155456544,-0.003359412006102502
57,58368,243.42690144572666,35.64833087921143,-0.0009648272767663002
58,59392,256.0464032138072,26.019570088386537,-0.0005001830635592341
59,60416,255.78596414504673,36.920777916908264,-0.0023263173643499613
60,61440,255.56825433038807,26.450092720985413,7.030507549643516e-06
61,62464,273.3000875488788,48.710695791244504,-0.0033773112343624236
62,63488,273.236074984743,26.568617057800292,-0.0001579740666784346
63,64512,287.64598396958485,37.935293960571286,-0.0026050864951685073
64,65536,287.8690746822522,26.767469263076784,-0.0001116851344704628
65,66560,274.5330847887816,50.19490485191345,-0.0019240499008446933
66,67584,274.45908135687466,26.99619264602661,-0.0005274492199532687
67,68608,260.62613900963,46.82227458953857,-0.0013123762095347048
68,69632,269.8014634284877,26.997290945053102,-0.0019257728126831353
69,70656,269.58083742872475,39.069187474250796,-0.0011954480316489935
70,71680,243.16262497739234,51.11745414733887,-0.0047307079075835645
71,72704,230.97741343196088,61.8231484413147,-0.0018415131606161594
72,73728,230.82755349209356,27.039878153800963,-0.0029246281599625947
73,74752,244.06984618369947,38.56459331512451,-0.0012350006261840462
74,75776,244.2716386926479,26.95574450492859,-0.0013818626059219242
75,76800,244.15974675170006,39.090411901474,-0.002019505074713379
76,77824,245.37905601548482,39.433335065841675,-0.0007078847382217645
77,78848,232.49303277612563,51.19561252593994,-0.0007136324886232615
78,79872,258.2171124341972,39.190005254745486,-0.002629560185596347
79,80896,258.2747104979401,39.129683923721316,-3.3129798248410224e-05
80,81920,258.19969938218185,27.249387550354005,-3.589105326682329e-05
81,82944,258.14935197099203,39.32361798286438,-0.0005983924260362983
82,83968,258.312492430077,27.797895073890686,-0.00028909600805491207
